year,Base case cost,Modeled biomass for heat (cordwood)
2017,355484.221327,366714.242973
2018,382719.533704,390437.395664
2019,426370.424911,429319.358254
2020,444511.347287,445048.57973
2021,463065.639287,461831.471263
2022,472662.761663,470026.24623
2023,486002.60287,482242.259437
2024,490866.044455,486260.217698
2025,504464.147246,498748.882893
2026,518240.679245,511422.920542
2027,525721.421622,517807.949078
2028,538102.664413,529280.809065
2029,552320.306412,542415.82522
2030,557437.708789,546727.980756
2031,572768.18158,560897.95467
2032,581387.563957,568362.860473
2033,597026.136748,582852.837849
2034,613743.398747,598336.893032
2035,619927.671124,603654.986178
2036,636949.663915,619454.858115
