year,Base case cost,Modeled solar power
2020,203206.994047,206488.480901
2021,211855.605324,214900.321376
2022,218196.878325,221041.134359
2023,223424.377342,226095.879191
2024,226801.892836,229327.697559
2025,232076.278941,234437.011264
2026,237380.277943,239579.748452
2027,242713.889843,244755.828762
2028,247060.405155,248963.365463
2029,252449.952529,254202.488339
2030,256334.177605,257961.785177
2031,262291.305517,263767.966512
2032,267852.772213,269181.959159
2033,273867.480759,275052.594303
2034,280432.495654,281469.765966
2035,284957.510932,285878.486386
2036,291588.332266,292367.920481
2037,295643.654084,296319.751331
2038,301864.007753,302404.856314
2039,307536.522815,307958.876635
