year,Base case cost,Modeled non-residential energy efficiency
2017,324796.788996,332759.785297
2018,345142.919167,349771.147875
2019,373627.501405,374095.216809
2020,386997.815517,384918.24903
2021,396298.903595,392125.81559
2022,403274.719653,397278.269088
2023,408506.581697,400895.322663
2024,411994.489726,402976.376749
2025,417226.35177,406642.808422
2026,422458.213814,410333.064601
2027,427690.075858,414046.586891
2028,431759.301892,416742.175814
2029,436991.163935,420500.60722
2030,440479.071965,422719.725608
2031,446292.252013,427041.312784
