year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6858.17706031,1749.08544881
2018,6860.50486095,1749.67912293
2019,6863.16520455,1750.35760764
2020,6865.59028601,1750.97609192
2021,6868.18844461,1751.63871719
2022,6870.67210808,1752.27214202
2023,6873.02392868,1752.8719421
2024,6875.47356388,1753.49668848
2025,6878.12416604,1754.17268877
2026,6881.0419235,1754.91682341
2027,6884.10620269,1755.69832644
2028,6887.23320065,1756.49582504
2029,6890.29094108,1757.27566045
2030,6893.37056635,1758.06107729
2031,6896.28178504,1758.8035443
