year,Base case cost,Grayling (grayling creek),Grayling (creek nw of town) -- unnamed creek,"Grayling (n. fork grayling creek) -- grayling creek, north fork"
2021,211855.605324,1245313.55042,802266.637683,646395.843349
2022,218196.878325,1222799.67044,788035.725068,635823.614149
2023,223424.377342,1201003.83847,774367.319566,625644.443011
2024,226801.892836,1179176.79595,760516.80618,615115.52179
2025,232076.278941,1158502.52034,747587.530336,605526.674662
2026,237380.277943,1138376.37629,735021.868465,596229.644065
2027,242713.889843,1118786.21081,722811.992285,587218.284497
2028,247060.405155,1099553.4914,710811.981322,578286.747323
2029,252449.952529,1080996.66738,699287.631548,569825.576216
2030,256334.177605,1062681.17808,687879.381995,561322.848774
2031,262291.305517,1045199.03934,677083.820756,553492.183588
2032,267852.772213,1027770.98257,666182.298014,545493.282554
2033,273867.480759,1011235.37007,656016.927061,538169.718503
2034,280432.495654,995253.950203,646238.924919,531204.919527
2035,284957.510932,979351.475835,636447.59397,524045.65139
2036,291588.332266,964263.757368,627268.682463,517565.307367
2037,295643.654084,949125.103182,617967.660249,510753.613317
2038,301864.007753,934416.459325,608886.860589,504262.056018
2039,307536.522815,920390.968844,600382.041063,498232.158988
2040,314291.553803,906969.968527,592320.93796,492656.037681
2041,314782.634356,892323.562809,583061.286197,485492.420023
2042,315764.795462,878523.022478,574521.247776,478999.289908
2043,316255.876014,864577.871023,565713.305266,472190.28131
2044,316746.956567,850971.068853,557123.308671,465552.3686
2045,317238.03712,837694.685829,548746.149835,459081.541679
2046,317729.117673,824740.977725,540576.840354,452773.884461
2047,318220.198226,812102.381904,532610.508796,446625.572684
2048,318711.278779,799771.512763,524842.397764,440632.871609
2049,319202.359331,787741.15811,517267.861562,434792.134188
2050,320184.520437,776495.355159,510373.443813,429590.879309
2051,320184.520437,764553.984025,502681.472284,423552.387144
2052,320184.520437,752892.488729,495169.781308,417655.422115
2053,320184.520437,741504.309823,487834.145649,411896.667251
2054,320184.520437,730383.041285,480670.438903,406272.883166
2055,320184.520437,719522.427484,473674.631537,400780.906524
2056,320184.520437,708916.359326,466842.788411,395417.648088
2057,320184.520437,698558.870857,460171.066586,390180.091005
2058,320184.520437,688444.136119,453655.713303,385065.289213
2059,320184.520437,678566.465401,447293.063564,380070.365551
2060,320184.520437,668920.302558,441079.538408,375192.510395
2061,320184.520437,659500.221735,435011.642797,370428.98001
2062,320184.520437,650300.92398,429085.963441,365777.094829
2063,320184.520437,641317.234791,423299.167211,361234.23822
2064,320184.520437,632544.100843,417647.999034,356797.854825
2065,320184.520437,623976.587297,412129.28016,352465.449204
2066,320184.520437,615609.874654,406739.906132,348234.584241
2067,320184.520437,607439.256991,401476.845658,344102.880253
2068,320184.520437,599460.138114,396337.13812,340068.013044
2069,320184.520437,591668.029917,391317.892531,336127.713076
2070,320184.520437,584058.549228,386416.285492,332279.763874
