year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.05
2003,,1.53,
2004,,1.92,2.05
2005,,2.22,4.0
2008,,3.52,5.33
2009,,4.14,7.0
2010,,2.67,4.75
2011,,2.74,4.75
2012,,3.33,5.0
2013,,3.41,5.0
2014,,,5.75
2016,,2.53,4.08
2017,,3.02,4.57
2018,,3.37,4.92
2019,,3.86,5.41
2020,,4.09,5.64
2021,,4.25,5.8
2022,,4.37,5.92
2023,,4.46,6.01
2024,,4.52,6.07
2025,,4.61,6.16
2026,,4.7,6.25
2027,,4.79,6.34
2028,,4.86,6.41
2029,,4.95,6.5
2030,,5.01,6.56
2031,,5.11,6.66
2032,,5.21,6.76
2033,,5.31,6.86
2034,,5.42,6.97
2035,,5.49,7.04
2036,,5.6,7.15
2037,,5.66,7.21
2038,,5.77,7.32
2039,,5.86,7.41
2040,,5.97,7.52
