year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,77773.0,68737.5280709
2018,77776.0,68740.5280709
2019,78800.0,69764.5280709
2020,78803.0,69767.5280709
2021,79828.0,70792.5280709
2022,79831.0,70795.5280709
2023,80855.0,71819.5280709
2024,80857.0,71821.5280709
2025,81883.0,72847.5280709
2026,82908.0,73872.5280709
2027,82911.0,73875.5280709
2028,83937.0,74901.5280709
2029,84962.0,75926.5280709
2030,84965.0,75929.5280709
2031,85991.0,76955.5280709
2032,85994.0,76958.5280709
2033,87020.0,77984.5280709
2034,88045.0,79009.5280709
2035,88048.0,79012.5280709
2036,89074.0,80038.5280709
