year,Base case diesel consumed,Grayling (grayling creek),Grayling (creek nw of town) -- unnamed creek,"Grayling (n. fork grayling creek) -- grayling creek, north fork"
2021,49848.3777232,9213.75948501,7856.68790701,10799.9823501
2022,49930.6357722,9296.01753406,7938.94595606,10882.2403992
2023,50095.1518703,9460.53363216,8103.46205415,11046.7564973
2024,50177.4099194,9542.7916812,8185.7201032,11129.0145463
2025,50341.9260175,9707.3077793,8350.2362013,11293.5306444
2026,50506.4421156,9871.8238774,8514.7522994,11458.0467425
2027,50670.9582137,10036.3399755,8679.26839749,11622.5628406
2028,50835.4743118,10200.8560736,8843.78449559,11787.0789387
2029,50999.9904099,10365.3721717,9008.30059368,11951.5950368
2030,51164.506508,10529.8882698,9172.81669178,12116.1111349
2031,51329.022606,10694.4043679,9337.33278988,12280.627233
2032,51411.2806551,10776.6624169,9419.59083893,12362.885282
2033,51575.7967532,10941.178515,9584.10693702,12527.4013801
2034,51740.3128513,11105.6946131,9748.62303512,12691.9174782
2035,51904.8289494,11270.2107112,9913.13913321,12856.4335763
2036,52069.3450475,11434.7268093,10077.6552313,13020.9496744
2037,52233.8611456,11599.2429074,10242.1713294,13185.4657725
2038,52316.1191946,11681.5009565,10324.4293785,13267.7238216
2039,52480.6352927,11846.0170546,10488.9454766,13432.2399197
2040,52645.1513908,12010.5331526,10653.4615746,13596.7560178
2041,52727.4094399,12092.7912017,10735.7196237,13679.0140668
2042,52891.925538,12257.3072998,10900.2357218,13843.5301649
2043,52974.183587,12339.5653488,10982.4937708,13925.788214
2044,53056.4416361,12421.8233979,11064.7518199,14008.046263
2045,53138.6996851,12504.0814469,11147.0098689,14090.3043121
2046,53220.9577342,12586.339496,11229.267918,14172.5623611
2047,53303.2157832,12668.597545,11311.525967,14254.8204101
2048,53385.4738323,12750.8555941,11393.7840161,14337.0784592
2049,53467.7318813,12833.1136431,11476.0420651,14419.3365082
2050,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2051,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2052,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2053,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2054,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2055,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2056,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2057,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2058,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2059,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2060,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2061,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2062,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2063,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2064,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2065,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2066,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2067,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2068,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2069,53632.2479794,12997.6297412,11640.5581632,14583.8526063
2070,53632.2479794,12997.6297412,11640.5581632,14583.8526063
