year,Base case diesel consumed,Modeled solar power
2020,49683.8616251,48889.3452146
2021,49848.3777232,49060.217444
2022,49930.6357722,49148.7807753
2023,50095.1518703,49319.5517133
2024,50177.4099194,49408.0145636
2025,50341.9260175,49578.6858246
2026,50506.4421156,49749.3078442
2027,50670.9582137,49919.8810165
2028,50835.4743118,50090.4057322
2029,50999.9904099,50260.8823789
2030,51164.506508,50431.3113412
2031,51329.022606,50601.6930007
2032,51411.2806551,50689.7696866
2033,51575.7967532,50860.0578724
2034,51740.3128513,51030.2998816
2035,51904.8289494,51200.4960834
2036,52069.3450475,51370.6468444
2037,52233.8611456,51540.7525282
2038,52316.1191946,51628.5554461
2039,52480.6352927,51798.5720542
