year,Base case cost,False pass wind energy project,Modeled wind power
2017,101779.076669,,
2018,115887.067494,,
2019,136041.340102,,
2020,145614.619591,,
2021,152164.758188,,
2022,157203.32634,,
2023,160730.324047,,
2024,163753.464938,,
2025,166776.605829,,
2026,171311.317166,,
2027,174838.314872,,
2028,177861.455763,,
2029,181892.310285,,
2030,183907.737546,,
2031,188442.448882,,
2032,192977.160219,,
2033,197511.871556,,
2034,202046.582892,,
2035,205069.723784,,
2036,210108.291936,,
2037,212627.576012,,
2038,217666.144163,,
