year,Base case cost,False pass hydroelectric feasibility study and conceptual design
2021,152164.758188,360997.200678
2022,157203.32634,363254.583483
2023,160730.324047,364834.751445
2024,163753.464938,366189.181128
2025,166776.605829,367543.61081
2026,171311.317166,369575.255334
2027,174838.314872,371155.423297
2028,177861.455763,372509.852979
2029,181892.310285,374315.759222
2030,183907.737546,375218.712344
2031,188442.448882,377250.356868
2032,192977.160219,379282.001391
2033,197511.871556,381313.645915
2034,202046.582892,383345.290438
2035,205069.723784,384699.720121
2036,210108.291936,386957.102925
2037,212627.576012,388085.794327
2038,217666.144163,390343.177131
2039,221193.14187,391923.345094
2040,226735.566837,394406.466178
2041,226735.566837,394406.466178
2042,226735.566837,394406.466178
2043,226735.566837,394406.466178
2044,226735.566837,394406.466178
2045,226735.566837,394406.466178
2046,226735.566837,394406.466178
2047,226735.566837,394406.466178
2048,226735.566837,394406.466178
2049,226735.566837,394406.466178
2050,226735.566837,394406.466178
