year,population
2003,97.0
2004,96.0
2005,93.0
2006,91.0
2007,98.0
2008,106.0
2009,106.0
2010,109.0
2011,107.0
2012,106.0
2013,106.0
2014,106.0
2015,105.0
2016,104.0
2017,104.0
2018,104.0
2019,104.0
2020,104.0
2021,104.0
2022,104.0
2023,103.0
2024,103.0
2025,103.0
2026,103.0
2027,104.0
2028,104.0
2029,105.0
2030,106.0
2031,106.0
2032,106.0
2033,106.0
2034,105.0
2035,105.0
2036,105.0
2037,106.0
2038,106.0
2039,107.0
2040,107.0
