year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,5643.7,0.0,122632.37,27816.48
2018,5643.7,0.0,122632.37,27816.48
2019,5643.7,0.0,122632.37,27816.48
2020,5643.7,0.0,122632.37,27816.48
2021,5643.7,0.0,122632.37,27816.48
2022,5643.7,0.0,122632.37,27816.48
2023,5643.7,0.0,122632.37,27816.48
2024,5643.7,0.0,122632.37,27816.48
2025,5643.7,0.0,122632.37,27816.48
2026,5643.7,0.0,122632.37,27816.48
2027,5643.7,0.0,122632.37,27816.48
2028,5643.7,0.0,122632.37,27816.48
2029,5643.7,0.0,122632.37,27816.48
2030,5643.7,0.0,122632.37,29109.59
2031,5643.7,0.0,122632.37,29109.59
2032,5643.7,,,29109.59
2033,5643.7,,,29109.59
2034,5643.7,,,29109.59
2035,5643.7,,,29109.59
2036,5643.7,,,29109.59
