year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,9640.05,8967.11,11520.4,4033.38
2018,9640.05,8967.62,11520.4,4033.38
2019,9640.05,8968.08,11520.4,4033.38
2020,9640.05,8968.58,11520.4,4033.38
2021,9640.05,8969.14,11520.4,4033.38
2022,9509.78,8969.69,11520.4,4033.38
2023,9509.78,8970.34,11520.4,4033.38
2024,9509.78,8971.01,11520.4,4033.38
2025,9509.78,8971.71,11520.4,4033.38
2026,9509.78,8972.44,11520.4,4033.38
2027,9509.78,8973.23,11520.4,2960.65
2028,9509.78,8974.07,11520.4,2960.65
2029,9509.78,8974.66,11520.4,2960.65
2030,9379.51,8975.34,11520.4,2960.65
2031,9379.51,8976.14,11520.4,2960.65
2032,9379.51,8977.16,11520.4,2960.65
2033,9379.51,8978.21,11520.4,2960.65
2034,9379.51,8979.3,11520.4,2960.65
2035,9379.51,8980.35,11520.4,2960.65
2036,9249.24,8981.3,11520.4,2960.65
2037,9249.24,8982.21,11520.4,2960.65
2038,9249.24,8983.16,11520.4,2960.65
2039,9249.24,8984.14,11520.4,2960.65
2040,9249.24,8985.22,11520.4,2960.65
