year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,24520.0,21517.9519464
2018,24521.0,21518.9519464
2019,24521.0,21518.9519464
2020,24522.0,21519.9519464
2021,24522.0,21519.9519464
2022,24523.0,21520.9519464
2023,24523.0,21520.9519464
2024,24524.0,21521.9519464
2025,24525.0,21522.9519464
2026,24525.0,21522.9519464
2027,23454.0,20451.9519464
2028,23455.0,20452.9519464
2029,23456.0,20453.9519464
2030,23456.0,20453.9519464
2031,23457.0,20454.9519464
2032,23458.0,20455.9519464
2033,23459.0,20456.9519464
2034,23460.0,20457.9519464
2035,23461.0,20458.9519464
2036,23462.0,20459.9519464
