year,Base case cost,Modeled diesel efficiency
2019,25449.7357892,160557.441255
2020,27281.3455619,159001.728908
2021,28534.5522485,156995.683364
2022,29099.9282381,154438.055729
2023,29765.612871,152043.608527
2024,30241.1018945,149546.559688
2025,30906.7865274,147291.071707
2026,31667.568965,145189.082902
2027,32333.2535979,143066.116744
2028,32903.8404261,140920.638696
2029,33664.6228637,139010.507759
2030,33578.6440266,136391.572414
2031,34422.799882,134677.763409
2032,35173.1606424,132936.839807
2033,36017.3164978,131337.975181
2034,36861.4723532,129794.570222
2035,37424.2429235,128049.520277
2036,37736.8932403,126129.978739
2037,38291.8475527,124482.364408
2038,39124.2790212,123137.442301
