year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8967.10577327,5828.61875263
2018,8967.6245578,5828.95596257
2019,8968.08341343,5829.25421873
2020,8968.57569607,5829.57420245
2021,8969.13949387,5829.94067101
2022,8969.69290398,5830.30038759
2023,8970.34180082,5830.72217053
2024,8971.00747775,5831.15486054
2025,8971.71150918,5831.61248097
2026,8972.44031122,5832.08620229
2027,8973.23323719,5832.60160417
2028,8974.06877926,5833.14470652
2029,8974.65977146,5833.52885145
2030,8975.34346701,5833.97325356
2031,8976.1390698,5834.49039537
