year,Base case diesel consumed,Cordova (lake 1878 elevation - fidalgo creek tributary),"Cordova (lake 1975 elevation - dead creek tributary) -- dead creek, lake 1975","Valdez (lowe river) -- lower river, keystone canyon",Valdez (mineral creek),Valdez (tsina river),Tasnuna river,Tiekel river,"Cleave creek -- copper river, cleave site",Nelchina river,Valdez (tonsina river),Tolsona creek,Kenney lake (tonsina river tributary),Chitina (liberty creek),"Glennallen (tazlina, cache creek)",Kenney lake (tonsina river tributary),Cordova (dead creek - gravina river tributary)
2021,2156726.99414,1508795.24296,1915487.91573,1833955.93474,1791340.82396,0.0,1640768.82024,0.0,0.0,0.0,1547939.69719,0.0,2062450.30713,2149899.47306,2122304.90866,1889315.75156,0.0
2022,2154988.12957,1507056.37838,1913749.05115,1832217.07017,1789601.95938,-1738.86457736,1639029.95567,-1738.86457736,-1738.86457736,-1738.86457736,1546200.83262,-1738.86457736,2060711.44255,2148160.60848,2120566.04409,1887576.88698,-1738.86457736
2023,2152597.19077,1504665.43959,1911358.11236,1829826.13137,1787211.02059,-4129.80337124,1636639.01687,-4129.80337124,-4129.80337124,-4129.80337124,1543809.89382,-4129.80337124,2058320.50376,2145769.66969,2118175.10529,1885185.94819,-4129.80337124
2024,2149916.44122,1501984.69003,1908677.3628,1827145.38182,1784530.27103,-6810.552928,1633958.26731,-6810.552928,-6810.552928,-6810.552928,1541129.14427,-6810.552928,2055639.7542,2143088.92013,2115494.35574,1882505.19863,-6810.552928
2025,2147235.69166,1499303.94048,1905996.61324,1824464.63226,1781849.52147,-9491.30248477,1631277.51776,-9491.30248477,-9491.30248477,-9491.30248477,1538448.39471,-9491.30248477,2052959.00465,2140408.17057,2112813.60618,1879824.44907,-9491.30248477
2026,2144265.13134,1496333.38016,1903026.05292,1821494.07194,1778878.96115,-12461.8628044,1628306.95744,-12461.8628044,-12461.8628044,-12461.8628044,1535477.83439,-12461.8628044,2049988.44433,2137437.61025,2109843.04586,1876853.88875,-12461.8628044
2027,2141801.73986,1493869.98867,1900562.66144,1819030.68045,1776415.56967,-14925.254289,1625843.56595,-14925.254289,-14925.254289,-14925.254289,1533014.44291,-14925.254289,2047525.05284,2134974.21877,2107379.65437,1874390.49727,-14925.254289
2028,2139483.25375,1491551.50257,1898244.17534,1816712.19435,1774097.08356,-17243.7403922,1623525.07985,-17243.7403922,-17243.7403922,-17243.7403922,1530695.9568,-17243.7403922,2045206.56674,2132655.73267,2105061.16827,1872072.01117,-17243.7403922
2029,2134628.92347,1486697.17229,1893389.84506,1811857.86407,1769242.75329,-22098.0706706,1618670.74957,-22098.0706706,-22098.0706706,-22098.0706706,1525841.62652,-22098.0706706,2040352.23646,2127801.40239,2100206.83799,1867217.68089,-22098.0706706
2030,2130644.02548,1482712.2743,1889404.94707,1807872.96608,1765257.8553,-26082.9686604,1614685.85158,-26082.9686604,-26082.9686604,-26082.9686604,1521856.72853,-26082.9686604,2036367.33847,2123816.5044,2096221.94,1863232.7829,-26082.9686604
2031,2127528.55978,1479596.8086,1886289.48137,1804757.50038,1762142.3896,-29198.4343615,1611570.38588,-29198.4343615,-29198.4343615,-29198.4343615,1518741.26283,-29198.4343615,2033251.87277,2120701.0387,2093106.4743,1860117.3172,-29198.4343615
2032,2124992.71561,1477060.96442,1883753.63719,1802221.65621,1759606.54542,-31734.2785369,1609034.54171,-31734.2785369,-31734.2785369,-31734.2785369,1516205.41866,-31734.2785369,2030716.02859,2118165.19452,2090570.63013,1857581.47302,-31734.2785369
2033,2123036.49296,1475104.74177,1881797.41454,1800265.43356,1757650.32277,-33690.5011864,1607078.31906,-33690.5011864,-33690.5011864,-33690.5011864,1514249.19601,-33690.5011864,2028759.80594,2116208.97187,2088614.40748,1855625.25037,-33690.5011864
2034,2120645.55416,1472713.80298,1879406.47575,1797874.49476,1755259.38398,-36081.4399803,1604687.38026,-36081.4399803,-36081.4399803,-36081.4399803,1511858.25721,-36081.4399803,2026368.86715,2113818.03308,2086223.46868,1853234.31158,-36081.4399803
