year,Base case cost,Modeled wind power
2019,5550608.91839,5733290.78313
2020,5957365.77007,5980461.98486
2021,6211373.74314,6120491.97264
2022,6421864.62611,6230654.56397
2023,6543895.45995,6278761.08346
2024,6664740.96777,6326516.6505
2025,6785264.78565,6374765.34592
2026,6947419.02554,6452665.39492
2027,7089363.75892,6517520.40293
2028,7210058.56515,6568271.73717
2029,7343123.49675,6625746.87466
2030,7435947.64894,6656479.72616
2031,7595276.95843,6735262.29286
2032,7756223.41197,6816352.18137
2033,7940156.48366,6914715.29524
2034,8122072.47245,7011719.53106
2035,8240574.13573,7065114.40335
2036,8417100.36885,7157999.37454
2037,8510579.49336,7193999.81688
2038,8689597.37452,7290588.07093
