year,Base case cost,Cordova (lake 1878 elevation - fidalgo creek tributary),"Cordova (lake 1975 elevation - dead creek tributary) -- dead creek, lake 1975","Valdez (lowe river) -- lower river, keystone canyon",Valdez (mineral creek),Valdez (tsina river),Tasnuna river,Tiekel river,"Cleave creek -- copper river, cleave site",Nelchina river,Valdez (tonsina river),Tolsona creek,Kenney lake (tonsina river tributary),Chitina (liberty creek),"Glennallen (tazlina, cache creek)",Kenney lake (tonsina river tributary),Cordova (dead creek - gravina river tributary)
2021,6211373.74314,8426018.19511,7507911.62348,6727235.5761,7052806.87112,25398907.3531,9193653.14716,86625812.8135,1769975789.42,96752182.7939,9922156.31748,23232802.9178,6753293.40153,6667076.89276,6330221.18062,6743799.20839,11723386.2714
2022,6421864.62611,8483351.79777,7652240.19164,6872803.1549,7184817.65159,24862277.9389,9258585.31654,84897856.3124,1733765443.58,94756607.4997,9957183.69846,22738843.6674,6937245.79235,6867582.32333,6532552.33482,6898468.22425,11453725.5181
2023,6543895.45995,8481486.80819,7719217.57155,6944220.90103,7244684.79867,24341996.3486,9258911.8508,83215431.4859,1698817136.29,92828302.2963,9931984.33899,22260074.4509,7037095.48536,6980132.25337,6647978.52785,6976580.67016,11193684.2103
2024,6664740.96777,8480381.60139,7785942.99602,7015161.98354,7304282.94466,23832323.5643,9260142.07602,81570806.0588,1664671048.69,90942981.7403,9908149.58078,21790946.984,7136140.22815,7091708.96382,6762323.25915,7054141.45749,10938169.9286
2025,6785264.78565,8480854.22584,7853258.22569,7086473.42956,7364454.24968,23333846.8026,9263090.66787,79963929.9803,1631309214.96,89100474.2541,9886483.29712,21332071.1479,7235234.74192,7203171.11961,6876447.73055,7131999.371,10687912.4284
2026,6947419.02554,8511177.44055,7958017.46458,7193298.85789,7459440.8031,22841882.8869,9298804.294,78388827.3864,1598491292.71,87286470.931,9896068.14496,20878869.6626,7374338.50924,7356322.30216,7031577.31126,7246464.71724,10438618.0527
2027,7089363.75892,8529920.08858,8045974.73827,7283970.90944,7538915.76873,22363876.275,9321682.77715,76853340.4765,1566533343.02,85521019.6103,9894223.83654,20438682.9585,7494578.9842,7489533.35557,7166956.29934,7344124.35658,10197491.7238
2028,7210058.56515,8535999.29282,8116069.25317,7357433.69538,7601818.72502,21898529.1122,9330640.09908,75355577.8989,1535416789.33,83802115.7605,9879854.29322,20010234.2893,7594907.44357,7601759.2295,7281542.00706,7423924.03716,9963368.33563
2029,7343123.49675,8549358.80959,8196824.62065,7440499.88877,7674061.14191,21432844.697,9348394.15089,73881292.9945,1504894219.72,82107187.8282,9873714.11968,19580631.3301,7706951.90825,7726471.77925,7408227.90747,7513843.00187,9723631.14885
2030,7435947.64894,8537799.49344,8243225.32374,7490732.24277,7714546.61445,20983514.6271,9338576.98785,72447616.8684,1475292158.36,80465580.5234,9842355.96871,19166460.1659,7781069.44035,7811271.19849,7495487.48188,7569698.10818,9494722.88372
2031,7595276.95843,8573940.65686,8349306.9628,7597881.60489,7810779.82751,20541131.7225,9380748.003,71042913.7258,1446041253.82,78845016.7365,9860446.21028,18758542.6811,7919038.43575,7962539.92247,7648253.6419,7684154.15621,9267985.79223
2032,7756223.41197,8613307.92087,8457777.8121,7707234.30296,7909388.15097,20110121.8408,9426264.15682,69672075.1412,1417456527.57,77262606.645,9882262.84664,18361198.2888,8058939.21475,8115601.24087,7802722.86052,7800751.50579,9047590.99247
2033,7940156.48366,8670415.63369,8587450.97827,7836749.9358,8027878.76953,19688443.1348,9491025.60879,68332196.9569,1389411820.63,75711238.385,9922720.37106,17972445.7707,8221141.91553,8291748.6778,7979900.41552,7938033.69528,8831739.70255
2034,8122072.47245,8727040.6843,8715843.3613,7964807.52195,8145075.15828,19274051.2781,9555417.92212,67021055.2237,1361998871.57,74192697.0167,9963172.35104,17590217.2285,8381627.5971,8466046.35434,8155142.82212,8073798.67744,8618377.5822
2035,8240574.13573,8742202.11559,8789155.2783,8040185.12579,8211096.70672,18874878.9747,9574291.67532,65747085.424,1335537287.71,72727643.6927,9961391.0351,17222337.6035,8481967.86884,8577308.61991,8268137.46553,8155078.44647,8415174.30622
2036,8417100.36885,8796399.2053,8913579.13831,8163932.02834,8324298.61723,18473056.1514,9636475.15507,64489915.5273,1309342284.44,71270969.6784,10000336.0043,16851205.5689,8637642.9886,8746539.51282,8438148.26945,8286418.55107,8205120.56298
2037,8510579.49336,8796247.89241,8965794.71166,8218737.01147,8370504.72751,18089581.8626,9638861.55443,63272411.3454,1284182294.84,69874199.6203,9983729.43911,16497544.0638,8714518.30231,8833166.47995,8526637.00312,8346431.69619,8008446.53156
