year,Base case cost,Modeled solar power
2020,5957365.77007,6175537.66492
2021,6211373.74314,6420028.19746
2022,6421864.62611,6621838.70017
2023,6543895.45995,6736632.14208
2024,6664740.96777,6850408.60602
2025,6785264.78565,6964028.02437
2026,6947419.02554,7118828.47616
2027,7089363.75892,7253889.43638
2028,7210058.56515,7368159.64057
2029,7343123.49675,7494652.61307
2030,7435947.64894,7581647.96114
2031,7595276.95843,7734408.1866
2032,7756223.41197,7888935.82062
2033,7940156.48366,8066308.61543
2034,8122072.47245,8241812.87321
2035,8240574.13573,8354899.99658
2036,8417100.36885,8525295.48643
2037,8510579.49336,8613900.89957
2038,8689597.37452,8787055.0641
2039,8827825.28486,8920102.88326
