year,Base case diesel consumed,Modeled solar power
2020,2158465.85872,2126438.35002
2021,2156726.99414,2124955.70551
2022,2154988.12957,2123471.01124
2023,2152597.19077,2121332.20939
2024,2149916.44122,2118901.57969
2025,2147235.69166,2116468.94902
2026,2144265.13134,2113744.52264
2027,2141801.73986,2111525.29603
2028,2139483.25375,2109449.02148
2029,2134628.92347,2104834.96506
2030,2130644.02548,2101088.41873
2031,2127528.55978,2098209.39789
2032,2124992.71561,2095908.10701
2033,2123036.49296,2094184.56123
2034,2120645.55416,2092024.43789
2035,2118399.52075,2090007.3734
2036,2114849.33891,2086684.32874
2037,2111806.3259,2083866.63581
2038,2109125.57634,2081409.40377
2039,2106879.54293,2079385.09974
