year,Base case diesel consumed,Modeled wind power
2019,2159770.00716,1552707.7972
2020,2158465.85872,1551403.64877
2021,2156726.99414,1549664.78419
2022,2154988.12957,1547925.91961
2023,2152597.19077,1545534.98082
2024,2149916.44122,1542854.23126
2025,2147235.69166,1540173.4817
2026,2144265.13134,1537202.92139
2027,2141801.73986,1534739.5299
2028,2139483.25375,1532421.0438
2029,2134628.92347,1527566.71352
2030,2130644.02548,1523581.81553
2031,2127528.55978,1520466.34983
2032,2124992.71561,1517930.50565
2033,2123036.49296,1515974.283
2034,2120645.55416,1513583.34421
2035,2118399.52075,1511337.3108
2036,2114849.33891,1507787.12895
2037,2111806.3259,1504744.11594
2038,2109125.57634,1502063.36638
