year,Base case diesel consumed,Modeled wind power
2019,1974704.98572,1604258.14077
2020,1972824.16738,1602377.32243
2021,1973296.22065,1602849.3757
2022,1973545.75434,1603098.90939
2023,1973138.44269,1602691.59773
2024,1973222.29993,1602775.45498
2025,1973176.75849,1602729.91354
2026,1973053.75988,1602606.91493
2027,1973025.53228,1602578.68733
2028,1973022.64664,1602575.80169
2029,1972950.37483,1602503.52988
2030,1972895.01195,1602448.167
2031,1972830.60398,1602383.75903
2032,1972766.58976,1602319.74481
2033,1972705.32808,1602258.48312
2034,1972704.8037,1602257.95874
2035,1972641.96908,1602195.12412
2036,1972579.52765,1602132.6827
2037,1972516.69299,1602069.84803
2038,1972516.69299,1602069.84804
