year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.89
2001,,,1.99
2003,,0.93,2.14
2004,,1.25,2.99
2005,,1.66,3.71
2006,,2.17,3.92
2008,,2.76,3.95
2009,,3.76,4.62
2010,,3.22,4.73
2011,,2.88,5.02
2012,,3.18,6.06
2013,,3.24,6.28
2014,,3.39,6.28
2016,start of forecast,1.69,4.15
2017,,2.01,4.47
2018,,2.25,4.71
2019,,2.58,5.04
2020,,2.73,5.19
2021,,2.84,5.3
2022,,2.92,5.38
2023,,2.97,5.43
2024,,3.02,5.48
2025,,3.07,5.53
2026,,3.14,5.6
2027,,3.19,5.65
2028,,3.24,5.7
2029,,3.3,5.76
2030,,3.34,5.8
2031,,3.41,5.87
2032,,3.47,5.93
2033,,3.54,6.0
2034,,3.61,6.07
2035,,3.66,6.12
2036,,3.73,6.19
2037,,3.78,6.24
2038,,3.85,6.31
2039,,3.9,6.36
2040,,3.98,6.44
