year,Base case diesel consumed,Modeled diesel efficiency
2019,1974704.98572,1795186.35066
2020,1972824.16738,1793476.5158
2021,1973296.22065,1793905.65513
2022,1973545.75434,1794132.50395
2023,1973138.44269,1793762.22062
2024,1973222.29993,1793838.45448
2025,1973176.75849,1793797.05318
2026,1973053.75988,1793685.23625
2027,1973025.53228,1793659.5748
2028,1973022.64664,1793656.95149
2029,1972950.37483,1793591.24984
2030,1972895.01195,1793540.91996
2031,1972830.60398,1793482.36726
2032,1972766.58976,1793424.17251
2033,1972705.32808,1793368.48007
2034,1972704.8037,1793368.00336
2035,1972641.96908,1793310.88098
2036,1972579.52765,1793254.11605
2037,1972516.69299,1793196.99362
2038,1972516.69299,1793196.99363
