year,Base case cost,Modeled wind power
2019,5094738.86317,5385764.83077
2020,5385809.97695,5608484.13134
2021,5604161.26664,5771712.93017
2022,5762753.60267,5885213.87722
2023,5860221.17478,5947610.13957
2024,5959131.34578,6011897.51584
2025,6057652.64858,6076234.02694
2026,6195388.80602,6173839.26355
2027,6293951.44797,6239062.56333
2028,6392593.37511,6304773.07033
2029,6510736.23693,6387195.94028
2030,6589469.33992,6436971.94273
2031,6727352.35958,6536716.96908
2032,6845500.06648,6620284.619
2033,6983376.86139,6720756.73117
2034,7121464.34135,6821793.34452
2035,7219869.60682,6889867.13325
2036,7357721.63814,6991351.24658
2037,7456113.09948,7060078.17331
2038,7594189.26802,7162437.73456
