year,Base case diesel consumed,Nome (penny river),Nome (osborn creek),Nome (buster creek),Nome (buster) -- buster creek,"Nome (sulphur creek) -- sulphur creek, aka alfield creek",Nome (david creek),Nome (nome river)
2021,1973296.22065,1933053.48117,1884538.35268,1964059.8124,1874270.85808,1947802.66416,1924275.0166,1883097.98377
2022,1973545.75434,1933303.01486,1884787.88637,1964309.3461,1874520.39178,1948052.19785,1924524.55029,1883347.51746
2023,1973138.44269,1932895.70321,1884380.57472,1963902.03444,1874113.08012,1947644.8862,1924117.23863,1882940.20581
2024,1973222.29993,1932979.56045,1884464.43196,1963985.89168,1874196.93736,1947728.74344,1924201.09588,1883024.06305
2025,1973176.75849,1932934.01902,1884418.89053,1963940.35025,1874151.39593,1947683.20201,1924155.55444,1882978.52162
2026,1973053.75988,1932811.0204,1884295.89191,1963817.35164,1874028.39732,1947560.20339,1924032.55583,1882855.523
2027,1973025.53228,1932782.7928,1884267.66431,1963789.12403,1874000.16971,1947531.97579,1924004.32823,1882827.2954
2028,1973022.64664,1932779.90716,1884264.77867,1963786.2384,1873997.28408,1947529.09015,1924001.44259,1882824.40976
2029,1972950.37483,1932707.63535,1884192.50686,1963713.96658,1873925.01226,1947456.81834,1923929.17078,1882752.13795
2030,1972895.01195,1932652.27247,1884137.14398,1963658.60371,1873869.64939,1947401.45547,1923873.8079,1882696.77507
2031,1972830.60398,1932587.8645,1884072.73602,1963594.19574,1873805.24142,1947337.0475,1923809.39993,1882632.36711
2032,1972766.58976,1932523.85029,1884008.7218,1963530.18152,1873741.2272,1947273.03328,1923745.38571,1882568.35289
2033,1972705.32808,1932462.5886,1883947.46011,1963468.91983,1873679.96551,1947211.77159,1923684.12402,1882507.0912
2034,1972704.8037,1932462.06422,1883946.93573,1963468.39545,1873679.44113,1947211.24721,1923683.59964,1882506.56682
2035,1972641.96908,1932399.2296,1883884.10111,1963405.56083,1873616.60651,1947148.41259,1923620.76502,1882443.7322
2036,1972579.52765,1932336.78817,1883821.65968,1963343.11941,1873554.16509,1947085.97117,1923558.3236,1882381.29077
2037,1972516.69299,1932273.95351,1883758.82502,1963280.28474,1873491.33042,1947023.1365,1923495.48893,1882318.45611
2038,1972516.69299,1932273.95351,1883758.82502,1963280.28475,1873491.33043,1947023.13651,1923495.48894,1882318.45611
2039,1972454.03311,1932211.29363,1883696.16514,1963217.62486,1873428.67054,1946960.47662,1923432.82905,1882255.79623
2040,1972391.3004,1932148.56092,1883633.43243,1963154.89215,1873365.93783,1946897.74391,1923370.09635,1882193.06352
2041,1972391.30525,1932148.56578,1883633.43729,1963154.89701,1873365.94269,1946897.74877,1923370.1012,1882193.06838
2042,1972328.60815,1932085.86867,1883570.74018,1963092.19991,1873303.24559,1946835.05166,1923307.4041,1882130.37127
2043,1972265.89864,1932023.15916,1883508.03067,1963029.49039,1873240.53607,1946772.34215,1923244.69458,1882067.66176
2044,1972265.90043,1932023.16096,1883508.03247,1963029.49219,1873240.53787,1946772.34395,1923244.69638,1882067.66356
2045,1972203.19764,1931960.45816,1883445.32967,1962966.78939,1873177.83507,1946709.64115,1923181.99358,1882004.96076
2046,1972140.49294,1931897.75346,1883382.62497,1962904.0847,1873115.13038,1946646.93645,1923119.28889,1881942.25606
2047,1972140.49343,1931897.75395,1883382.62546,1962904.08518,1873115.13086,1946646.93694,1923119.28937,1881942.25655
2048,1972077.7899,1931835.05042,1883319.92193,1962841.38165,1873052.42733,1946584.23341,1923056.58584,1881879.55302
2049,1972077.7897,1931835.05022,1883319.92173,1962841.38146,1873052.42714,1946584.23322,1923056.58565,1881879.55282
2050,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2051,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2052,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2053,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2054,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2055,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2056,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2057,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2058,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2059,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2060,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2061,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2062,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2063,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2064,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2065,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2066,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2067,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2068,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2069,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
2070,1972015.08624,1931772.34676,1883257.21827,1962778.67799,1872989.72367,1946521.52975,1922993.88218,1881816.84936
