year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,1971408.01,14006.61,1774496.8,1382989.17
2018,1972735.73,14070.05,1774496.8,1402946.92
2019,1974704.99,14132.8,1774496.8,1422904.67
2020,1972824.17,14192.97,1774496.8,1441615.06
2021,1973296.22,14249.5,1774496.8,1459078.09
2022,1973545.75,14304.09,1774496.8,1476541.12
2023,1973138.44,14356.78,1774496.8,1492756.79
2024,1973222.3,14409.34,1774496.8,1510219.82
2025,1973176.76,14461.2,1774496.8,1526435.49
2026,1973053.76,14512.8,1774496.8,1542651.16
2027,1973025.53,14562.58,1774496.8,1557619.47
2028,1973022.65,14611.12,1774496.8,1573835.14
2029,1972950.37,14670.39,1774496.8,1592545.53
2030,1972895.01,14726.88,1774496.8,1610008.56
2031,1972830.6,14779.79,1774496.8,1626224.23
2032,1972766.59,,,1641192.54
2033,1972705.33,,,1653666.13
2034,1972704.8,,,1666139.72
2035,1972641.97,,,1679860.67
2036,1972579.53,,,1694828.98
