year,Base case cost,Nome (penny river),Nome (osborn creek),Nome (buster creek),Nome (buster) -- buster creek,"Nome (sulphur creek) -- sulphur creek, aka alfield creek",Nome (david creek),Nome (nome river)
2021,5604161.26664,6592243.41043,6650296.82559,6244665.56721,6970945.61901,7477697.33613,7768313.79113,8070608.85905
2022,5762753.60267,6726181.66588,6776971.11905,6389399.67617,7089971.07152,7595945.05432,7877836.97859,8168952.05751
2023,5860221.17478,6800603.28317,6845541.10914,6473570.29419,7151334.35907,7654666.27232,7928640.50253,8209891.83901
2024,5959131.34578,6876964.70993,6916136.30264,6559485.30551,7214880.80426,7715711.0116,7981928.02057,8253502.87042
2025,6057652.64858,6953422.82574,6986911.57772,6645306.16976,7278761.58321,7777227.15853,8035843.658,8297924.88824
2026,6195388.80602,7068837.31833,7095841.40664,6770461.54519,7380760.62403,7878334.14026,8129074.8273,8381091.35458
2027,6293951.44797,7146274.01364,7167756.22853,6856892.6301,7446078.69303,7941552.16226,8184994.83054,8427870.71483
2028,6392593.37511,7224242.20456,7240280.21138,6943677.48064,7512149.58151,8005650.66375,8241941.26244,8475846.81193
2029,6510736.23693,7321786.61445,7332014.62777,7050147.23462,7597477.73065,8089800.44971,8318867.33644,8543594.03549
2030,6589469.33992,7381085.18161,7386460.52979,7117637.15164,7645841.29768,8135768.68787,8358179.39228,8574639.32377
2031,6727352.35958,7498855.83715,7498125.9603,7244280.37971,7751277.79241,8240936.81399,8456184.74933,8663412.02857
2032,6845500.06648,7597668.7903,7591345.95509,7351522.01203,7838492.97253,8327330.37573,8535762.45286,8734286.80643
2033,6983376.86139,7716246.14745,7703957.70408,7478652.44136,7945134.0368,8433932.5623,8635464.23923,8825062.09893
2034,7121464.34135,7835426.41976,7817239.73219,7606231.62963,8052569.98413,8541440.35937,8736198.22687,8917017.31154
2035,7219869.60682,7916040.16932,7892904.28356,7694529.2543,8122697.06705,8610408.71247,8798944.73593,8971878.96656
2036,7357721.63814,8035742.08977,8006837.98817,7822332.53278,8231025.20596,8719022.4312,8901028.99532,9065469.58316
2037,7456113.09948,8117081.38754,8083355.06859,7911065.12175,8302239.69594,8789286.91216,8965310.25539,9122144.43866
2038,7594189.26802,8237729.46883,8198358.93873,8039530.78777,8411867.37339,8899403.9983,9069130.91254,9217743.3763
2039,7692570.72911,8319763.86769,8275692.21859,8128681.3554,8484122.05994,8970907.7275,9134878.9896,9276150.59892
2040,7850117.37558,8460204.6751,8410165.4445,8276951.36904,8613344.37594,9101483.19447,9259166.09187,9392100.47577
