year,Base case cost,Modeled transmission and interties
2021,422842.099195,
2022,434320.915185,
2023,441998.3051,
2024,449052.011665,
2025,456718.753327,
2026,465927.970396,
2027,472266.722878,
2028,479232.201067,
2029,487264.025666,
2030,492013.146196,
2031,501085.457163,
2032,511213.466288,
2033,520229.493636,
2034,530298.176784,
2035,536022.372989,
2036,546036.293696,
2037,551717.896893,
2038,561677.05516,
2039,568388.496472,
2040,580185.238852,
