year,Base case cost,Modeled biomass for heat (pellet)
2017,857971.047101,1000523.1663
2018,938334.387101,1055331.28129
2019,1048461.9271,1131430.92123
2020,1105013.9071,1169369.77845
2021,1140730.9471,1192502.22136
2022,1170495.1471,1211443.16638
2023,1188353.6671,1221944.82999
2024,1206212.1871,1232498.94251
2025,1224070.7071,1243104.27467
2026,1247882.0671,1258006.12053
2027,1268717.0071,1270833.56599
2028,1286575.5271,1281585.46618
2029,1307410.4671,1294507.19762
2030,1322292.5671,1303227.9267
2031,1346103.9271,1318362.82353
2032,,
2033,,
2034,,
2035,,
2036,,
