year,Base case cost,Modeled biomass for heat (cordwood)
2017,857971.047101,1123844.5809
2018,938334.387101,1178132.1367
2019,1048461.9271,1254548.11129
2020,1105013.9071,1291467.0483
2021,1140730.9471,1313095.08624
2022,1170495.1471,1330433.57754
2023,1188353.6671,1339078.27871
2024,1206212.1871,1347829.85839
2025,1224070.7071,1356685.8116
2026,1247882.0671,1370045.30893
2027,1268717.0071,1381303.53622
2028,1286575.5271,1390458.16051
2029,1307410.4671,1401908.52039
2030,1322292.5671,1409049.96576
2031,1346103.9271,1422884.366
2032,,
2033,,
2034,,
2035,,
2036,,
