year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.49
2003,,,
2004,,,2.08
2005,,,2.38
2006,,,2.63
2008,,,4.02
2009,,,4.4
2010,,,3.17
2011,,,3.85
2012,,,3.87
2013,,,4.23
2014,,,3.88
2016,start of forecast,1.57,2.52
2017,,1.93,2.88
2018,,2.2,3.15
2019,,2.57,3.52
2020,,2.76,3.71
2021,,2.88,3.83
2022,,2.98,3.93
2023,,3.04,3.99
2024,,3.1,4.05
2025,,3.16,4.11
2026,,3.24,4.19
2027,,3.31,4.26
2028,,3.37,4.32
2029,,3.44,4.39
2030,,3.49,4.44
2031,,3.57,4.52
2032,,3.65,4.6
2033,,3.74,4.69
2034,,3.83,4.78
2035,,3.89,4.84
2036,,3.98,4.93
2037,,4.03,4.98
2038,,4.12,5.07
2039,,4.19,5.14
2040,,4.29,5.24
