year,Base case cost,Modeled biomass for heat (pellet)
2017,64912.032104,70207.2989434
2018,70213.522104,73989.1173401
2019,77343.112104,79075.0110461
2020,80816.502104,81552.7541336
2021,83193.032104,83248.0520356
2022,85021.132104,84552.1273448
2023,86300.802104,85464.9800612
2024,87214.852104,86117.0177158
2025,88494.522104,87029.8704323
2026,90139.812104,88203.5382106
2027,91419.482104,89116.390927
2028,92333.532104,89768.4285816
2029,93796.012104,90811.688829
2030,94710.062104,91463.7264836
2031,96355.352104,92637.3942619
2032,,
2033,,
2034,,
2035,,
2036,,
