year,Base case diesel consumed,Modeled residential ashp
2017,53041.0989183,23241.3840213
2018,53041.0989183,23241.3840213
2019,53041.0989183,23241.3840213
2020,53041.0989183,23241.3840213
2021,53041.0989183,23241.3840213
2022,53041.0989183,23241.3840213
2023,53041.0989183,23241.3840213
2024,53041.0989183,23241.3840213
2025,53041.0989183,23241.3840213
2026,53041.0989183,23241.3840213
2027,51131.730051,21332.0151539
2028,51131.730051,21332.0151539
2029,51131.730051,21332.0151539
2030,51131.730051,21332.0151539
2031,51131.730051,21332.0151539
