year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,55804.88,9120.55,18281.39,29799.71
2018,55804.88,9121.46,18281.39,29799.71
2019,55804.88,9121.86,18281.39,29799.71
2020,55730.89,9122.7,18281.39,29799.71
2021,55730.89,9123.87,18281.39,29799.71
2022,55730.89,9125.11,18281.39,29799.71
2023,55730.89,9126.64,18281.39,29799.71
2024,55656.89,9128.15,18281.39,29799.71
2025,55656.89,9129.78,18281.39,29799.71
2026,55656.89,9131.44,18281.39,29799.71
2027,55656.89,9133.34,18281.39,28726.99
2028,55582.9,9135.41,18281.39,28726.99
2029,55582.9,9135.8,18281.39,28726.99
2030,55582.9,9136.69,18281.39,28726.99
2031,55582.9,9138.17,18281.39,28726.99
2032,55508.9,,,28726.99
2033,55508.9,,,28726.99
2034,55434.9,,,28726.99
2035,55434.9,,,27654.26
2036,55360.91,,,27654.26
