year,Base case cost,Modeled biomass for heat (cordwood)
2017,64912.032104,86442.421563
2018,70213.522104,90362.3919237
2019,77343.112104,95634.0762018
2020,80816.502104,98202.332645
2021,83193.032104,99959.5607377
2022,85021.132104,101311.274655
2023,86300.802104,102257.474397
2024,87214.852104,102933.331356
2025,88494.522104,103879.531098
2026,90139.812104,105096.073624
2027,91419.482104,106042.273366
2028,92333.532104,106718.130325
2029,93796.012104,107799.501459
2030,94710.062104,108475.358418
2031,96355.352104,109691.900943
2032,,
2033,,
2034,,
2035,,
2036,,
