year,Base case cost,Modeled biomass for heat (cordwood)
2017,298795.16735,332641.980826
2018,321798.56735,348917.585994
2019,351922.06735,370475.09474
2020,366162.26735,380305.031594
2021,376020.86735,386911.539377
2022,383140.96735,391509.167601
2023,388617.96735,394907.496868
2024,392451.86735,397106.16074
2025,397381.16735,400129.690951
2026,403405.86735,403977.738037
2027,408335.16735,407030.049056
2028,412716.76735,409691.268648
2029,418193.76735,413176.005097
2030,421479.96735,415054.073067
2031,427504.66735,418969.963426
2032,,
2033,,
2034,,
2035,,
2036,,
