year,Base case diesel consumed,Modeled solar power (pv)
2016,41156.8476215,40622.6542911
2017,41156.8476215,40626.9278377
2018,41156.8476215,40631.167196
2019,41241.7071011,40720.232119
2020,41156.8476215,40639.5444393
2021,41156.8476215,40643.6828647
2022,41156.8476215,40647.7881828
2023,41156.8476215,40651.8606583
2024,41071.9881419,40571.0410744
2025,41156.8476215,40659.9081305
2026,41156.8476215,40663.8836465
2027,41156.8476215,40667.8273583
2028,41241.7071011,40756.599
2029,41241.7071011,40760.4798648
2030,41326.5665808,40849.1891623
2031,41326.5665808,40853.0081817
2032,41411.4260604,40941.6561285
2033,41411.4260604,40945.414288
2034,41411.4260604,40949.1423821
2035,41496.28554,41037.7001312
