year,annotation,diesel generation efficiency
2002,,15.27
2003,,13.66
2004,,11.7
2005,,12.44
2006,,5.27
2007,,2.76
2008,,0.0
2009,,0.0
2010,,1.84
2011,,12.21
2012,,11.96
2013,,11.72
2014,,11.91
2015,,11.73
2016,start of forecast,11.78
2017,,11.78
2018,,11.78
2019,,11.78
2020,,11.78
2021,,11.78
2022,,11.78
2023,,11.78
2024,,11.78
2025,,11.78
2026,,11.78
2027,,11.78
2028,,11.78
2029,,11.78
2030,,11.78
2031,,11.78
2032,,11.78
2033,,11.78
2034,,11.78
2035,,11.78
2036,,11.78
2037,,11.78
2038,,11.78
2039,,11.78
2040,,11.78
