year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,54769.8117949,40529.6607282
2018,54769.8117949,40529.6607282
2019,54769.8117949,40529.6607282
2020,54769.8117949,40529.6607282
2021,54769.8117949,40529.6607282
2022,54769.8117949,40529.6607282
2023,54769.8117949,40529.6607282
2024,54769.8117949,40529.6607282
2025,54769.8117949,40529.6607282
2026,54769.8117949,40529.6607282
2027,54769.8117949,40529.6607282
2028,54769.8117949,40529.6607282
2029,54769.8117949,40529.6607282
2030,54769.8117949,40529.6607282
2031,54769.8117949,40529.6607282
