year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,34834.1321492,25690.8177904
2018,34834.1321492,25690.8177904
2019,34834.1321492,25690.8177904
2020,34834.1321492,25690.8177904
2021,34834.1321492,25690.8177904
2022,34834.1321492,25690.8177904
2023,34834.1321492,25690.8177904
2024,34834.1321492,25690.8177904
2025,34834.1321492,25690.8177904
2026,34834.1321492,25690.8177904
2027,34834.1321492,25690.8177904
2028,34834.1321492,25690.8177904
2029,34834.1321492,25690.8177904
2030,34834.1321492,25690.8177904
2031,34834.1321492,25690.8177904
