year,Base case cost,"Karluk (unnamed stream, site #1) -- unnamed creek, 1","Karluk (unnamed stream, site #2) -- unnamed creek, 2","Karluk (unnamed stream, site #3) -- unnamed creek, 3"
2021,68011.1288803,576595.608724,352958.525928,360352.920287
2022,69161.3443715,575985.546056,352519.995542,359921.847827
2023,69984.6937092,575803.02216,352435.490094,359841.60405
2024,70808.043047,575620.498264,352350.984645,359761.360273
2025,71528.9154285,575084.029104,351937.038543,359352.74126
2026,72445.0240801,574491.327905,351491.365015,358913.46024
2027,73261.3060415,574301.736633,351399.79219,358826.149086
2028,73756.9058039,573791.463161,350987.537166,358418.155734
2029,74772.8411455,573550.056961,350868.654024,358304.599682
2030,75256.9564214,573028.299003,350444.914513,357885.121842
2031,75935.4245452,572449.425585,349988.564154,357434.098573
2032,76805.5952509,571810.78644,349496.95268,356948.879606
2033,77321.51372,570817.895059,348651.088969,356109.408403
2034,77816.2300603,569803.801549,347784.02313,355248.73507
2035,78055.6374321,569288.803995,347342.539412,354810.447606
2036,78875.4530817,568599.809794,346800.572881,354274.873583
2037,78935.5257802,567654.009259,345952.790793,353431.353167
2038,79730.6056128,566940.279241,345386.088446,352871.043327
2039,79762.4088061,565966.209201,344510.036853,351999.253405
2040,80347.2341941,564790.75643,343506.116364,351002.790842
2041,79596.3254633,564039.847699,342755.207634,350251.882111
2042,79220.8710979,563664.393334,342379.753268,349876.427746
2043,78469.9623671,562913.484603,341628.844537,349125.519015
2044,77719.0536363,562162.575872,340877.935807,348374.610284
2045,76968.1449055,561411.667142,340127.027076,347623.701554
2046,76217.2361747,560660.758411,339376.118345,346872.792823
2047,75466.3274439,559909.84968,338625.209614,346121.884092
2048,74715.4187132,559158.940949,337874.300883,345370.975361
2049,73964.5099824,558408.032218,337123.392153,344620.066631
2050,73213.6012516,557657.123488,336372.483422,343869.1579
