year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,3507.29,131719.0,131719.0
2004,,3507.29,129238.0,129238.0
2005,,3507.29,170988.0,170988.0
2006,,3507.29,231728.0,231728.0
2007,,3507.29,250867.0,250867.0
2008,,3507.29,264161.0,264161.0
2009,,3507.29,262694.0,262694.0
2010,,3507.29,263264.0,263264.0
2011,,3507.29,255889.0,255889.0
2012,,3507.29,269191.0,269191.0
2013,,3507.29,262357.0,262357.0
2014,start of forecast,3507.29,236000.0,236000.0
2015,,3507.29,236000.0,236000.0
2016,,3507.29,235000.0,235000.0
2017,,3507.29,235000.0,235000.0
2018,,3507.29,234000.0,234000.0
2019,,3507.29,234000.0,234000.0
2020,,3507.29,234000.0,234000.0
2021,,3507.29,234000.0,234000.0
2022,,3507.29,233000.0,233000.0
2023,,3507.29,233000.0,233000.0
2024,,3507.29,233000.0,233000.0
2025,,3507.29,232000.0,232000.0
2026,,3507.29,231000.0,231000.0
2027,,3507.29,231000.0,231000.0
2028,,3507.29,230000.0,230000.0
2029,,3507.29,230000.0,230000.0
2030,,3507.29,229000.0,229000.0
2031,,3507.29,228000.0,228000.0
2032,,3507.29,227000.0,227000.0
2033,,3507.29,225000.0,225000.0
2034,,3507.29,223000.0,223000.0
2035,,3507.29,222000.0,222000.0
2036,,3507.29,221000.0,221000.0
2037,,3507.29,219000.0,219000.0
2038,,3507.29,218000.0,218000.0
2039,,3507.29,216000.0,216000.0
2040,,3507.29,214000.0,214000.0
