year,Base case diesel consumed,"Karluk (unnamed stream, site #1) -- unnamed creek, 1","Karluk (unnamed stream, site #2) -- unnamed creek, 2","Karluk (unnamed stream, site #3) -- unnamed creek, 3"
2021,20672.0756475,0.0,0.0,0.0
2022,20583.7334439,0.0,0.0,0.0
2023,20583.7334439,0.0,0.0,0.0
2024,20583.7334439,0.0,0.0,0.0
2025,20495.3912403,0.0,0.0,0.0
2026,20407.0490366,0.0,0.0,0.0
2027,20407.0490366,0.0,0.0,0.0
2028,20318.706833,0.0,0.0,0.0
2029,20318.706833,0.0,0.0,0.0
2030,20230.3646294,0.0,0.0,0.0
2031,20142.0224258,0.0,0.0,0.0
2032,20053.6802222,0.0,0.0,0.0
2033,19876.9958149,0.0,0.0,0.0
2034,19700.3114077,0.0,0.0,0.0
2035,19611.969204,0.0,0.0,0.0
2036,19523.6270004,0.0,0.0,0.0
2037,19346.9425932,0.0,0.0,0.0
2038,19258.6003896,0.0,0.0,0.0
2039,19081.9159823,0.0,0.0,0.0
2040,18905.2315751,0.0,0.0,0.0
2041,18728.5471678,0.0,0.0,0.0
2042,18640.2049642,0.0,0.0,0.0
2043,18463.520557,0.0,0.0,0.0
2044,18286.8361497,0.0,0.0,0.0
2045,18110.1517425,0.0,0.0,0.0
2046,17933.4673352,0.0,0.0,0.0
2047,17756.782928,0.0,0.0,0.0
2048,17580.0985207,0.0,0.0,0.0
2049,17403.4141135,0.0,0.0,0.0
2050,17226.7297063,0.0,0.0,0.0
