year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,22834.0,16883.8652423
2018,22834.0,16883.8652423
2019,22834.0,16883.8652423
2020,22834.0,16883.8652423
2021,22834.0,16883.8652423
2022,22834.0,16883.8652423
2023,22834.0,16883.8652423
2024,22834.0,16883.8652423
2025,22834.0,16883.8652423
2026,22834.0,16883.8652423
2027,22834.0,16883.8652423
2028,22834.0,16883.8652423
2029,22834.0,16883.8652423
2030,22834.0,16883.8652423
2031,22834.0,16883.8652423
2032,,
2033,,
2034,,
2035,,
2036,,
