year,Base case cost,Modeled biomass for heat (cordwood)
2017,84913.0799326,99161.5091855
2018,89936.5599326,102875.959539
2019,96786.7599326,107941.119111
2020,99755.1799326,110136.021593
2021,102038.579933,111824.408117
2022,103636.959933,113006.278684
2023,104550.319933,113681.633294
2024,105463.679933,114356.987903
2025,106605.379933,115201.181166
2026,107975.419933,116214.21308
2027,108888.779933,116889.56769
2028,109802.139933,117564.9223
2029,110943.839933,118409.115562
2030,111857.199933,119084.470171
2031,112998.899933,119928.663433
2032,,
2033,,
2034,,
2035,,
2036,,
