year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,63195.0,45080.6588821
2018,63195.0,45080.6588821
2019,63195.0,45080.6588821
2020,63195.0,45080.6588821
2021,63195.0,45080.6588821
2022,63195.0,45080.6588821
2023,63195.0,45080.6588821
2024,63195.0,45080.6588821
2025,63195.0,45080.6588821
2026,63195.0,45080.6588821
2027,63195.0,45080.6588821
2028,63195.0,45080.6588821
2029,63195.0,45080.6588821
2030,63195.0,45080.6588821
2031,63195.0,45080.6588821
2032,,
2033,,
2034,,
2035,,
2036,,
