year,Base case cost,Modeled biomass for heat (pellet)
2017,221864.512719,240893.618865
2018,238927.162719,253065.396763
2019,263573.212719,270646.853727
2020,274948.312719,278761.372326
2021,283163.662719,284621.85798
2022,289483.162719,289129.923869
2023,293906.812719,292285.56999
2024,297066.562719,294539.602934
2025,301490.212719,297695.249056
2026,306545.812719,301301.701767
2027,310969.462719,304457.347889
2028,314129.212719,306711.380833
2029,319184.812719,310317.833543
2030,322344.562719,312571.866487
2031,327400.162719,316178.319198
2032,,
2033,,
2034,,
2035,,
2036,,
