year,Base case cost,Modeled diesel efficiency
2019,53540.4613365,202814.130594
2020,56771.3512447,202138.623928
2021,58925.2778502,200568.731883
2022,60617.6487545,198661.931413
2023,61694.6120573,196276.419171
2024,62617.7234596,193829.898659
2025,63848.5386628,191740.117771
2026,65233.2057663,189865.406247
2027,66310.1690691,187784.405391
2028,67233.2804714,185635.259275
2029,68617.9475749,183975.748448
2030,69387.2070769,181825.173807
2031,70771.8741804,180300.855166
2032,72156.541284,178841.765614
2033,73541.2083875,177446.376304
2034,75079.7273914,176253.059666
2035,76002.8387938,174561.030862
2036,76867.0851212,172874.813842
2037,77782.1694679,171292.748263
2038,79307.3100457,170321.85646
