year,Base case diesel consumed,Modeled solar power
2020,112059.29569,110110.82631
2021,112865.477674,110932.596048
2022,113525.081115,111607.662542
2023,114111.395284,112209.316061
2024,114624.420183,112737.557593
2025,115210.734352,113338.966663
2026,115797.048522,113940.254975
2027,116749.809048,114907.869849
2028,117409.412489,115582.208803
2029,117922.437387,116109.851331
2030,118508.751557,116710.66619
2031,119095.065727,117311.365042
2032,119754.669168,117985.238089
2033,120487.56188,118732.286249
2034,121147.165321,119405.931895
2035,121806.768762,120079.465204
2036,122466.372203,120752.887073
2037,123345.843458,121646.066209
2038,124078.73617,122392.557139
2039,124811.628882,123138.939283
