year,Base case cost,Kwethluk wind feasibility,Modeled wind power
2019,384935.773425,525445.486894,599727.631478
2020,410137.022226,543850.883645,616680.541177
2021,430017.469936,557799.026292,629163.221468
2022,443883.067158,566593.839913,636478.685555
2023,455304.467184,573337.72496,641759.572523
2024,464228.90174,577975.981456,644950.312763
2025,474668.225532,584052.302951,649624.87973
2026,487505.574279,592292.558017,656518.68903
2027,499689.182726,600264.882052,663157.560617
2028,509556.850202,606149.892643,667731.697557
2029,522396.397627,614611.995269,674946.238442
2030,530919.206976,619448.870968,678525.475387
2031,544264.450372,628554.656202,686445.81927
2032,558056.758322,638174.083343,694909.777607
2033,572315.91893,648325.3801,703934.875634
2034,587563.751807,659373.417317,713895.674553
2035,598071.234621,666364.809159,719786.236682
2036,613556.524737,677772.860345,730162.223549
2037,625363.42633,686183.355295,737525.769637
2038,640246.278636,697261.27282,747613.864478
