year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,158727.146416,117458.088348
2018,158727.146416,117458.088348
2019,158727.146416,117458.088348
2020,158727.146416,117458.088348
2021,158727.146416,117458.088348
2022,158727.146416,117458.088348
2023,158727.146416,117458.088348
2024,158727.146416,117458.088348
2025,158727.146416,117458.088348
2026,158727.146416,117458.088348
2027,158727.146416,117458.088348
2028,158727.146416,117458.088348
2029,158727.146416,117458.088348
2030,158727.146416,117458.088348
2031,158727.146416,117458.088348
