year,Base case cost,Modeled biomass for heat (cordwood)
2017,1277386.34676,1412448.96869
2018,1376381.84059,1495760.42313
2019,1500851.58781,1599640.07549
2020,1571335.32072,1659516.61952
2021,1625006.8911,1704703.8209
2022,1661179.26847,1734513.36663
2023,1696751.63808,1764602.33061
2024,1722523.165,1785768.65475
2025,1751250.94206,1809527.37863
2026,1790509.32183,1843038.06868
2027,1824577.54251,1872233.30246
2028,1856088.62242,1899331.36627
2029,1891522.71934,1929156.85301
2030,1920704.04895,1954428.25486
2031,1956695.81617,1984898.78371
2032,1998033.01593,2020756.90124
2033,2034643.12346,2051929.09463
2034,2079675.01337,2091149.65403
2035,2113265.18329,2120622.23285
2036,2159108.88336,2160732.20414
