year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,109567.46,8951.52,158727.15,93003.73
2018,110593.51,8975.72,158727.15,95963.72
2019,111253.11,8989.92,158727.15,97443.71
2020,112059.3,9008.13,158727.15,100403.7
2021,112865.48,9026.4,158727.15,102623.69
2022,113525.08,9040.94,158727.15,104103.68
2023,114111.4,9053.78,158727.15,106323.67
2024,114624.42,9066.24,158727.15,107803.67
2025,115210.73,9079.16,158727.15,109283.66
2026,115797.05,9093.04,158727.15,111503.65
2027,116749.81,9113.22,158727.15,113723.65
2028,117409.41,9127.77,158727.15,115943.64
2029,117922.44,9139.64,158727.15,117423.63
2030,118508.75,9153.43,158727.15,119643.62
2031,119095.07,9166.97,158727.15,121123.62
2032,119754.67,9181.49,158727.15,123343.61
2033,120487.56,9197.32,158727.15,124823.6
2034,121147.17,9212.27,158727.15,127043.59
2035,121806.77,9227.28,158727.15,129263.58
2036,122466.37,9242.63,158727.15,131483.57
2037,123345.84,9262.65,158727.15,133703.56
2038,124078.74,9278.08,158727.15,135923.56
2039,124811.63,9294.96,158727.15,138143.55
2040,125617.81,9313.63,158727.15,140363.54
