year,Base case cost,Modeled solar power
2020,410137.022226,419006.207073
2021,430017.469936,438312.080519
2022,443883.067158,451711.291505
2023,455304.467184,462714.886366
2024,464228.90174,471268.963619
2025,474668.225532,481328.111103
2026,487505.574279,493757.149497
2027,499689.182726,505578.68684
2028,509556.850202,515111.16797
2029,522396.397627,527569.284877
2030,530919.206976,535791.411275
2031,544264.450372,548772.11132
2032,558056.758322,562208.337205
2033,572315.91893,576119.699212
2034,587563.751807,591010.430638
2035,598071.234621,601238.122004
2036,613556.524737,616382.023764
2037,625363.42633,627923.414228
2038,640246.278636,642496.805563
2039,654012.935341,655978.026863
