year,Base case cost,Modeled wind power
2019,1119188.31994,1325438.10742
2020,1176543.75717,1365287.08372
2021,1215688.34568,1390120.97429
2022,1245731.09791,1407541.53878
2023,1266265.12699,1417137.53801
2024,1284921.61369,1425408.80446
2025,1303179.82489,1433454.75551
2026,1328702.51635,1447806.99657
2027,1350097.68162,1458948.05678
2028,1366517.81917,1466026.56839
2029,1389805.59672,1479002.92989
2030,1403961.39821,1484503.73011
2031,1429562.30954,1499721.1647
2032,1455179.00836,1515100.88959
2033,1478522.75976,1528726.43499
2034,1506459.7685,1546333.5561
2035,1522963.14922,1554521.98505
2036,1548155.02086,1570029.35288
2037,1564676.34192,1578499.08639
2038,1592166.99507,1596186.72844
