year,annotation,line losses
2002,,0.15
2003,,0.16
2004,,0.12
2005,,0.11
2006,,0.11
2007,,0.07
2008,,0.07
2009,,0.21
2010,,0.19
2011,,0.11
2012,,0.21
2013,,0.17
2016,start of forecast,0.16
2017,,0.16
2018,,0.16
2019,,0.16
2020,,0.16
2021,,0.16
2022,,0.16
2023,,0.16
2024,,0.16
2025,,0.16
2026,,0.16
2027,,0.16
2028,,0.16
2029,,0.16
2030,,0.16
2031,,0.16
2032,,0.16
2033,,0.16
2034,,0.16
2035,,0.16
2036,,0.16
2037,,0.16
2038,,0.16
2039,,0.16
2040,,0.16
