year,annotation,Average Load
2003,,261.0
2004,,290.0
2005,,287.0
2006,,297.0
2007,,321.0
2008,,321.0
2009,,290.0
2010,,308.0
2011,,314.0
2012,,316.0
2013,,303.0
2014,start of forecast,305.0
2015,,305.0
2016,,305.0
2017,,305.0
2018,,305.0
2019,,305.0
2020,,305.0
2021,,305.0
2022,,305.0
2023,,305.0
2024,,305.0
2025,,305.0
2026,,306.0
2027,,306.0
2028,,306.0
2029,,306.0
2030,,306.0
2031,,306.0
2032,,306.0
2033,,306.0
2034,,306.0
2035,,306.0
2036,,307.0
2037,,307.0
2038,,307.0
2039,,307.0
2040,,307.0
