year,Base case cost,Modeled solar power (pv)
2016,778820.562411,795596.975896
2017,904354.37582,919353.671595
2018,995786.801712,1009397.58426
2019,1119188.31994,1131108.06799
2020,1176543.75717,1187480.61281
2021,1215688.34568,1225847.66768
2022,1245731.09791,1255221.58649
2023,1266265.12699,1275192.94255
2024,1284921.61369,1293322.63962
2025,1303179.82489,1311066.70301
2026,1328702.51635,1336020.91292
2027,1350097.68162,1356904.86953
2028,1366517.81917,1372869.73565
2029,1389805.59672,1395648.34762
2030,1403961.39821,1409393.11443
2031,1429562.30954,1434486.57898
2032,1455179.00836,1459607.68368
2033,1478522.75976,1482488.46265
2034,1506459.7685,1509931.82505
2035,1522963.14922,1526056.43047
