year,Base case cost,Modeled non-residential energy efficiency
2017,2415405.38933,2422311.417
2018,2579128.72148,2569061.54457
2019,2800155.21988,2769036.83043
2020,2902482.30248,2859116.31386
2021,2972064.71864,2918959.70614
2022,3025274.80159,2963738.18244
2023,3062112.55133,2993449.1913
2024,3094857.21776,3019470.58136
2025,3127601.88419,3045593.36644
2026,3172625.80053,3083195.51122
2027,3209463.55026,3113307.45974
2028,3238115.13339,3135926.94547
2029,3279045.96642,3170018.99069
2030,3303604.46625,3189027.30452
2031,3348628.38259,3227090.79967
