year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.67
2004,,1.81,2.67
2005,,2.23,2.67
2008,,3.49,4.84
2009,,4.8,7.0
2010,,4.62,6.32
2011,,3.93,6.44
2012,,4.26,7.42
2013,,4.21,7.95
2014,,,6.89
2016,start of forecast,2.99,5.72
2017,,3.47,6.2
2018,,3.82,6.55
2019,,4.28,7.01
2020,,4.5,7.23
2021,,4.65,7.38
2022,,4.76,7.49
2023,,4.84,7.57
2024,,4.9,7.63
2025,,4.97,7.7
2026,,5.07,7.8
2027,,5.14,7.87
2028,,5.21,7.94
2029,,5.29,8.02
2030,,5.34,8.07
2031,,5.43,8.16
2032,,5.53,8.26
2033,,5.62,8.35
2034,,5.72,8.45
2035,,5.78,8.51
2036,,5.88,8.61
2037,,5.94,8.67
2038,,6.03,8.76
2039,,6.11,8.84
2040,,6.22,8.95
