year,Base case cost,Modeled non-residential energy efficiency
2017,900862.74762,932826.331302
2018,958802.192119,985127.285259
2019,1034951.17632,1053865.68189
2020,1071370.25572,1086740.56723
2021,1096201.44622,1109155.26179
2022,1114410.98592,1125592.70446
2023,1127654.28752,1137547.20822
2024,1137586.76372,1146513.08604
2025,1149174.65262,1156973.27683
2026,1165728.77962,1171916.40653
2027,1177316.66852,1182376.59733
2028,1188904.55742,1192836.78812
2029,1202147.85902,1204791.29188
2030,1210424.92252,1212262.85673
2031,1225323.63682,1225711.67346
